CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Annual_Purchases,Cluster
CUST1112,Male,26,108.6,24.2,14,0
CUST1113,Male,23,30.1,80.3,51,1
CUST1114,Male,48,27.6,52.9,30,4
CUST1115,Female,65,39.7,20.8,19,3
CUST1116,Female,64,35.0,26.3,13,3
CUST1117,Female,68,54.1,17.5,15,3
CUST1118,Male,50,86.7,83.9,67,2
CUST1119,Female,21,15.2,60.4,46,1
CUST1120,Male,55,51.8,24.7,17,3
CUST1121,Female,48,111.0,100.0,49,2
CUST1122,Male,30,82.4,23.0,12,0
CUST1123,Female,54,119.4,73.2,80,2
CUST1124,Female,69,59.5,23.6,14,3
CUST1125,Female,57,59.1,22.3,15,3
CUST1126,Male,25,31.3,59.3,42,1
CUST1127,Male,61,70.9,27.1,18,3
CUST1128,Female,47,112.5,78.7,63,2
CUST1129,Male,33,97.4,31.7,24,0
CUST1130,Male,22,19.7,72.1,50,1
CUST1131,Female,46,94.0,85.6,60,2
CUST1132,Female,37,31.8,58.7,33,4
CUST1133,Female,51,53.9,13.1,5,3
CUST1134,Female,41,74.8,70.0,70,2
CUST1135,Male,30,33.9,74.2,47,1
CUST1136,Male,40,116.9,89.6,65,2
CUST1137,Female,22,33.0,78.9,60,1
CUST1138,Male,20,28.1,91.4,39,1
CUST1139,Male,64,41.4,21.5,11,3
CUST1140,Male,23,33.6,79.6,39,1
CUST1141,Female,56,55.7,28.0,22,3
CUST1142,Female,36,45.2,33.7,38,4
CUST1143,Male,18,21.4,75.6,51,1
CUST1144,Male,58,43.4,40.0,12,3
CUST1145,Male,49,52.4,13.4,27,3
CUST1146,Female,23,36.2,67.2,51,1
CUST1147,Male,50,56.2,25.3,11,3
CUST1148,Female,48,56.3,33.6,13,3
CUST1149,Male,25,28.4,58.6,31,1
CUST1150,Male,19,26.8,77.5,37,1
CUST1151,Male,49,103.0,87.7,44,2
CUST1152,Female,25,25.5,65.1,28,1
CUST1153,Male,25,29.4,83.4,46,1
CUST1154,Male,37,30.6,64.1,33,4
CUST1155,Male,30,84.9,25.8,25,0
CUST1156,Male,28,32.4,84.4,42,1
CUST1157,Male,60,68.6,19.3,17,3
CUST1158,Female,49,48.3,30.8,27,3
CUST1159,Male,18,22.2,75.6,44,1
CUST1160,Male,33,76.3,73.7,60,2
CUST1161,Male,24,75.1,33.7,18,0
CUST1162,Female,41,35.5,41.2,41,4
CUST1163,Male,26,22.4,75.1,41,1
CUST1164,Male,46,33.7,47.4,27,4
CUST1165,Male,25,35.5,44.4,33,4
CUST1166,Male,26,36.8,100.0,32,1
CUST1167,Male,23,26.0,65.8,55,1
CUST1168,Female,35,31.0,56.7,30,4
CUST1169,Male,30,88.3,68.5,58,2
CUST1170,Male,21,33.0,76.4,47,1
CUST1171,Male,37,82.6,83.4,69,2
CUST1172,Male,45,42.1,55.4,25,4
CUST1173,Female,42,105.8,77.1,56,2
CUST1174,Female,40,104.5,75.5,58,2
CUST1175,Female,40,77.5,84.8,62,2
CUST1176,Male,32,73.9,4.7,20,0
CUST1177,Female,51,81.1,87.0,59,2
CUST1178,Male,40,92.0,79.3,61,2
CUST1179,Female,33,99.6,9.1,10,0
CUST1180,Female,31,83.3,19.5,12,0
CUST1181,Female,48,89.9,75.7,59,2
CUST1182,Female,36,36.7,50.9,39,4
CUST1183,Male,45,44.6,23.8,7,3
CUST1184,Male,36,42.7,54.8,37,4
CUST1185,Female,44,85.1,87.6,72,2
CUST1186,Male,29,93.8,25.4,16,0
CUST1187,Female,22,30.3,81.5,38,1
CUST1188,Female,57,47.5,12.1,22,3
CUST1189,Female,49,101.6,77.8,47,2
CUST1190,Male,34,32.9,30.0,42,4
CUST1191,Female,30,93.6,23.5,12,0
CUST1192,Male,38,27.1,49.6,31,4
CUST1193,Male,63,57.2,20.2,14,3
CUST1194,Male,34,100.6,86.3,66,2
CUST1195,Female,53,58.8,14.4,20,3
CUST1196,Female,33,93.1,80.9,69,2
CUST1197,Female,22,25.7,92.7,41,1
CUST1198,Female,54,98.6,95.3,50,2
CUST1199,Male,33,103.3,12.8,21,0
CUST1200,Male,38,40.9,56.8,34,4
CUST1201,Female,22,34.6,82.5,35,1
CUST1202,Male,61,51.4,15.1,18,3
CUST1203,Male,39,103.9,68.4,42,2
CUST1204,Female,30,85.8,79.3,66,2
CUST1205,Female,33,73.7,80.4,60,2
CUST1206,Male,66,52.7,22.0,14,3
CUST1207,Female,25,20.3,93.7,49,1
CUST1208,Male,32,27.1,64.3,46,1
CUST1209,Male,39,85.9,41.1,25,0
CUST1210,Male,55,37.8,12.1,16,3
CUST1211,Female,50,114.5,93.6,50,2
CUST1212,Male,34,78.2,21.2,20,0
CUST1213,Male,47,63.2,31.9,10,3
CUST1214,Female,58,68.7,33.8,16,3
CUST1215,Female,26,109.1,38.2,12,0
CUST1216,Female,25,75.9,14.4,14,0
CUST1217,Female,58,73.8,19.1,14,3
CUST1218,Female,32,93.5,21.4,18,0
CUST1219,Female,53,58.1,17.8,14,3
CUST1220,Female,22,86.8,26.0,23,0
CUST1221,Female,45,45.0,14.7,15,3
CUST1222,Male,24,29.9,56.5,40,1
CUST1223,Male,31,88.8,63.4,70,2
CUST1224,Female,45,85.6,86.2,38,2
CUST1225,Male,30,86.2,33.9,14,0
CUST1226,Female,59,57.9,15.9,15,3
CUST1227,Male,36,35.8,41.0,29,4
CUST1228,Female,67,41.0,10.8,13,3
CUST1229,Male,28,20.9,64.3,44,1
CUST1230,Female,30,91.4,83.9,67,2
CUST1231,Male,26,37.9,77.0,34,1
CUST1232,Male,25,25.4,52.2,35,4
CUST1233,Male,25,22.3,69.6,42,1
CUST1234,Female,35,86.2,33.7,18,0
CUST1235,Male,28,93.3,45.0,9,0
CUST1236,Female,33,117.1,13.8,14,0
CUST1237,Male,44,80.1,91.7,66,2
CUST1238,Male,41,99.6,96.8,60,2
CUST1239,Female,35,110.0,85.4,64,2
CUST1240,Male,22,94.6,15.4,16,0
CUST1241,Male,42,103.6,78.5,60,2
CUST1242,Female,32,41.2,56.6,49,4
CUST1243,Female,28,30.6,87.2,54,1
CUST1244,Female,36,102.3,29.0,27,0
CUST1245,Male,40,77.0,77.0,59,2
CUST1246,Female,21,29.3,60.6,55,1
CUST1247,Male,21,40.0,67.4,54,1
CUST1248,Female,22,95.7,37.3,10,0
CUST1249,Female,54,87.2,85.9,54,2
CUST1250,Male,32,50.0,52.4,41,4
CUST1251,Male,53,62.7,34.6,9,3
CUST1252,Male,36,42.8,39.4,26,4
CUST1253,Male,30,97.9,74.7,70,2
CUST1254,Male,52,56.2,26.0,10,3
CUST1255,Female,55,30.9,56.6,31,4
CUST1256,Male,48,97.4,86.9,78,2
CUST1257,Male,28,84.6,19.4,19,0
CUST1258,Female,40,82.9,68.2,65,2
CUST1259,Male,47,37.2,38.8,29,4
CUST1260,Female,55,58.3,9.7,17,3
CUST1261,Female,33,92.7,77.0,45,2
CUST1262,Female,33,102.5,12.2,24,0
CUST1263,Male,19,31.9,81.0,51,1
CUST1264,Male,50,92.8,83.4,41,2
CUST1265,Female,56,63.7,27.4,15,3
CUST1266,Female,25,38.5,58.8,26,4
CUST1267,Male,20,25.6,74.3,47,1
CUST1268,Female,40,36.8,50.0,36,4
CUST1269,Female,38,111.0,84.2,37,2
CUST1270,Male,45,82.1,77.8,69,2
CUST1271,Female,60,53.5,18.7,18,3
CUST1272,Male,75,58.4,17.7,17,3
CUST1273,Female,27,65.2,31.3,23,0
CUST1274,Female,61,56.3,29.8,22,3
CUST1275,Female,38,95.6,29.6,16,0
CUST1276,Male,23,102.5,32.9,6,0
CUST1277,Male,34,108.6,15.1,23,0
CUST1278,Female,50,58.7,22.9,15,3
CUST1279,Female,40,89.7,77.7,75,2
CUST1280,Female,32,96.1,23.2,28,0
CUST1281,Male,45,49.3,26.9,14,3
CUST1282,Male,41,39.2,54.8,33,4
CUST1283,Female,50,36.2,27.0,10,3
CUST1284,Male,44,113.8,62.7,49,2
CUST1285,Female,43,42.3,30.0,27,4
CUST1286,Male,46,50.2,19.8,14,3
CUST1287,Male,26,39.7,36.9,32,4
CUST1288,Male,27,95.6,43.9,20,0
CUST1289,Female,54,69.8,22.1,20,3
CUST1290,Female,27,94.7,24.0,16,0
CUST1291,Male,56,53.9,16.8,25,3
CUST1292,Male,22,96.0,27.9,22,0
CUST1293,Female,36,82.0,19.0,18,0
CUST1294,Male,38,96.2,70.6,50,2
CUST1295,Female,58,99.4,80.7,47,2
CUST1296,Male,26,102.3,30.9,20,0
CUST1297,Male,39,33.5,38.8,29,4
CUST1298,Male,40,23.9,52.0,30,4
CUST1299,Female,30,35.7,64.2,31,4
CUST1300,Male,44,30.4,62.2,22,4
CUST1301,Female,55,71.5,25.9,22,3
CUST1302,Male,28,98.0,45.0,23,0
CUST1303,Male,35,105.8,81.3,63,2
CUST1304,Female,39,88.5,80.5,68,2
CUST1305,Female,40,104.8,74.3,71,2
CUST1306,Male,45,55.0,22.9,3,3
CUST1307,Male,50,66.7,18.0,12,3
CUST1308,Male,43,99.1,71.7,48,2
CUST1309,Female,43,83.4,78.5,59,2
CUST1310,Male,22,88.9,19.7,22,0
CUST1311,Male,45,53.3,5.1,14,3
CUST1312,Male,48,36.0,47.0,39,4
CUST1313,Female,27,88.2,14.6,21,0
CUST1314,Male,52,96.6,92.9,68,2
CUST1315,Female,60,61.3,18.7,8,3
CUST1316,Male,36,20.0,30.3,39,4
CUST1317,Male,47,100.2,85.6,66,2
CUST1318,Male,38,74.9,26.0,20,0
CUST1319,Male,33,99.7,16.8,26,0
CUST1320,Male,31,100.4,66.5,58,2
CUST1321,Female,42,30.4,47.0,23,4
CUST1322,Male,24,23.1,99.3,58,1
CUST1323,Female,55,26.8,56.6,36,4
CUST1324,Male,27,22.6,88.1,57,1
CUST1325,Male,50,62.4,22.5,18,3
CUST1326,Male,26,37.2,73.3,39,1
CUST1327,Male,70,59.9,27.6,5,3
CUST1328,Female,37,80.9,88.3,60,2
CUST1329,Male,34,88.4,28.0,16,0
CUST1330,Female,42,84.3,79.4,64,2
CUST1331,Female,24,24.4,78.3,59,1
CUST1332,Female,29,21.9,71.5,35,1
CUST1333,Male,26,24.2,69.5,36,1
CUST1334,Male,44,77.6,88.3,77,2
CUST1335,Female,44,98.0,98.4,50,2
CUST1336,Male,24,95.8,31.4,29,0
CUST1337,Male,38,94.4,12.5,21,0
CUST1338,Female,68,46.3,24.5,15,3
CUST1339,Female,18,22.6,79.8,46,1
CUST1340,Female,27,21.8,81.4,52,1
CUST1341,Male,71,57.1,14.4,24,3
CUST1342,Female,33,39.8,30.0,29,4
CUST1343,Male,32,92.9,21.5,7,0
CUST1344,Female,42,92.0,85.1,61,2
CUST1345,Female,26,22.1,77.1,47,1
CUST1346,Female,25,31.1,45.5,31,4
CUST1347,Female,38,25.2,57.7,42,4
CUST1348,Male,57,52.7,27.4,8,3
CUST1349,Male,50,57.3,25.5,11,3
CUST1350,Male,60,47.9,11.0,18,3
CUST1351,Male,38,39.5,52.7,39,4
CUST1352,Female,18,22.4,57.5,45,1
CUST1353,Male,60,50.2,23.2,15,3
CUST1354,Female,37,31.6,46.2,29,4
CUST1355,Male,41,111.4,86.1,71,2
CUST1356,Male,58,53.3,4.6,24,3
CUST1357,Male,47,35.3,47.7,40,4
CUST1358,Female,54,48.8,8.8,14,3
CUST1359,Female,40,94.2,84.2,74,2
CUST1360,Female,26,28.0,60.4,49,1
CUST1361,Male,55,72.9,28.4,14,3
CUST1362,Male,60,66.6,13.8,15,3
CUST1363,Female,23,23.6,75.3,48,1
CUST1364,Female,25,27.2,96.4,50,1
CUST1365,Male,22,31.8,81.2,39,1
CUST1366,Female,55,47.6,25.6,24,3
CUST1367,Male,27,74.1,33.3,19,0
CUST1368,Male,52,58.9,21.5,21,3
CUST1369,Female,37,31.0,50.3,30,4
CUST1370,Male,25,20.9,96.8,44,1
CUST1371,Male,40,42.9,41.2,35,4
CUST1372,Female,61,55.1,31.5,11,3
CUST1373,Female,51,71.2,20.8,9,3
CUST1374,Male,45,52.0,27.2,18,3
CUST1375,Male,32,95.6,74.8,67,2
CUST1376,Female,47,35.7,56.7,27,4
CUST1377,Female,38,70.0,86.6,44,2
CUST1378,Female,25,40.8,80.3,53,1
CUST1379,Female,38,102.6,79.7,62,2
CUST1380,Male,34,98.1,73.7,49,2
CUST1381,Female,46,25.6,57.3,22,4
CUST1382,Male,24,33.0,69.2,50,1
CUST1383,Male,34,92.9,32.4,27,0
CUST1384,Female,52,27.6,60.2,33,4
CUST1385,Male,27,33.0,82.7,44,1
CUST1386,Female,23,90.5,35.6,17,0
CUST1387,Male,26,28.4,74.7,52,1
CUST1388,Female,48,86.0,75.0,51,2
CUST1389,Female,27,30.5,69.2,27,1
CUST1390,Male,29,104.7,40.4,22,0
CUST1391,Male,40,28.6,46.3,32,4
CUST1392,Female,27,20.0,45.9,34,4
CUST1393,Male,55,69.4,22.4,21,3
CUST1394,Male,58,59.4,33.5,17,3
CUST1395,Male,40,31.4,55.8,26,4
CUST1396,Female,28,34.4,57.5,23,4
CUST1397,Male,33,96.6,1.0,10,0
CUST1398,Female,56,43.5,29.9,15,3
CUST1399,Male,49,42.2,19.0,11,3
CUST1400,Male,60,60.6,18.0,9,3
CUST1401,Male,65,58.5,31.8,25,3
CUST1402,Female,25,50.0,60.4,27,4
CUST1403,Male,55,59.5,20.4,20,3
CUST1404,Male,37,37.1,34.4,29,4
CUST1405,Female,34,42.8,39.4,36,4
CUST1406,Male,29,97.5,20.6,22,0
CUST1407,Male,35,87.5,22.1,11,0
CUST1408,Male,58,55.3,21.4,13,3
CUST1409,Male,50,56.0,16.2,18,3
CUST1410,Female,37,99.0,81.9,66,2
CUST1411,Female,25,29.6,63.3,48,1
CUST1412,Female,60,60.3,19.8,13,3
CUST1413,Female,47,31.5,54.4,42,4
CUST1414,Male,49,80.3,84.5,53,2
CUST1415,Male,31,86.5,29.6,21,0
CUST1416,Male,63,59.1,25.6,8,3
CUST1417,Female,40,88.5,86.3,50,2
CUST1418,Male,23,25.1,68.1,52,1
CUST1419,Female,34,80.8,26.6,17,0
CUST1420,Male,20,35.8,92.1,33,1
CUST1421,Female,42,45.3,50.1,36,4
CUST1422,Male,34,20.0,45.4,35,4
CUST1423,Female,24,28.9,66.3,57,1
CUST1424,Female,32,25.6,47.4,25,4
CUST1425,Female,26,35.8,82.8,46,1
CUST1426,Male,66,75.6,24.7,19,3
CUST1427,Male,26,19.2,70.7,45,1
CUST1428,Female,59,53.9,31.1,7,3
CUST1429,Male,51,31.3,65.6,28,4
CUST1430,Female,26,78.7,13.4,13,0
CUST1431,Female,24,26.9,79.5,45,1
CUST1432,Female,38,87.9,35.1,29,0
CUST1433,Female,42,46.9,38.1,47,4
CUST1434,Female,18,18.0,95.3,40,1
CUST1435,Male,30,113.1,27.6,19,0
CUST1436,Male,53,54.6,16.8,10,3
CUST1437,Male,58,63.9,29.8,3,3
CUST1438,Male,29,19.3,73.2,49,1
CUST1439,Female,23,108.4,17.3,21,0
CUST1440,Male,26,19.8,75.1,47,1
CUST1441,Male,30,79.1,12.6,26,0
CUST1442,Female,58,61.2,9.3,10,3
CUST1443,Female,40,93.1,69.1,61,2
CUST1444,Male,33,88.8,30.9,7,0
CUST1445,Female,27,36.9,38.6,37,4
CUST1446,Male,48,76.2,79.5,63,2
CUST1447,Female,26,80.0,27.3,7,0
CUST1448,Female,26,40.7,57.2,36,1
CUST1449,Female,37,101.9,25.3,8,0
CUST1450,Female,57,67.0,22.8,12,3
CUST1451,Female,22,27.7,75.5,54,1
CUST1452,Female,28,98.6,29.1,13,0
CUST1453,Female,25,27.0,74.3,48,1
CUST1454,Male,41,47.0,48.3,41,4
CUST1455,Female,46,97.3,88.7,60,2
CUST1456,Female,38,29.6,30.0,22,4
CUST1457,Female,46,114.3,78.6,58,2
CUST1458,Female,34,32.7,34.5,37,4
CUST1459,Female,45,85.0,94.0,58,2
CUST1460,Male,36,97.3,61.5,77,2
CUST1461,Male,21,25.0,76.7,38,1
CUST1462,Male,27,34.4,100.0,32,1
CUST1463,Female,35,79.7,23.7,28,0
CUST1464,Female,52,60.9,22.0,21,3
CUST1465,Male,64,59.8,22.9,16,3
CUST1466,Male,21,29.1,80.4,43,1
CUST1467,Female,26,94.0,36.3,8,0
CUST1468,Female,39,35.5,36.0,31,4
CUST1469,Female,44,94.2,68.5,72,2
CUST1470,Male,58,66.0,32.6,11,3
CUST1471,Male,43,25.8,35.0,20,4
CUST1472,Male,44,98.0,80.0,47,2
CUST1473,Male,31,90.9,17.7,10,0
CUST1474,Female,58,68.1,23.4,19,3
CUST1475,Male,39,34.2,49.9,15,4
CUST1476,Female,27,84.7,37.9,19,0
CUST1477,Female,61,77.4,25.3,22,3
CUST1478,Male,40,65.0,24.9,32,0
CUST1479,Male,44,103.0,78.9,51,2
CUST1480,Female,36,90.7,94.9,64,2
CUST1481,Male,44,101.7,80.6,57,2
CUST1482,Male,28,87.5,28.2,19,0
CUST1483,Female,20,27.0,81.3,39,1
CUST1484,Female,28,94.0,24.9,22,0
CUST1485,Female,24,20.7,78.5,49,1
CUST1486,Male,44,27.8,53.9,33,4
CUST1487,Male,27,71.2,22.6,23,0
CUST1488,Male,54,64.9,13.6,16,3
CUST1489,Male,40,26.5,47.9,37,4
CUST1490,Male,37,84.3,82.3,71,2
CUST1491,Female,40,31.9,39.2,50,4
CUST1492,Male,23,21.9,75.8,51,1
CUST1493,Female,37,97.8,78.3,49,2
CUST1494,Female,19,30.7,81.2,56,1
CUST1495,Female,41,124.0,88.1,51,2
CUST1496,Male,60,52.2,20.4,9,3
CUST1497,Male,29,99.2,22.2,23,0
CUST1498,Female,47,41.4,50.9,46,4
CUST1499,Male,47,86.4,92.2,50,2
